id,question,answer,question_decomposition,answerable,output,retrieval_time,ttft,llm_time,total_time,accuracy,f1,precision,recall,em
0,Which network subsidiary broadcasts the weeknight evening news show in part named after the network that aired Crowd Rules?,CNBC Asia,"[{'id': 139851, 'question': 'The show Crowd Rules originally aired on what network?', 'answer': 'CNBC', 'paragraph_support_idx': 0}, {'id': 140916, 'question': 'Where can you find the show #1 Tonight?', 'answer': 'CNBC Asia', 'paragraph_support_idx': 3}]",True,"To answer this question, we need to identify the network that aired Crowd Rules and then find a connection between that network and a weeknight evening news show.

1. The text states that Crowd Rules is an American competition/reality TV series on CNBC.
2. We are looking for a network subsidiary that broadcasts a weeknight evening news show in part named after the network that aired Crowd Rules.
3. Since Crowd Rules aired on CNBC, we need to find a connection between CNBC and a weeknight evening news show.

The key detail is that NBC (National Broadcasting Company) is a subsidiary of NBCUniversal, which also owns CNBC. Additionally, NBC has a weeknight evening news show called ""NBC Nightly News"" or simply ""Nightly News"", but more specifically, it's the ""NBC Nightly News with Lester Holt"" and before that, it was ""NBC Nightly News with Brian Williams"".

However, there is another connection between NBC and CNBC. The text does not explicitly mention a weeknight evening news show on CNBC, but we can infer that since Crowd Rules aired on CNBC, which is owned by NBCUniversal, the network subsidiary broadcasting the weeknight evening news show could be related to NBC.

Given this information, it seems likely that the answer is NBC, as it is a subsidiary of NBCUniversal and has a connection to the network that aired Crowd Rules.",8.9131161738,3.2036572509,3.2036572509,12.1169245481,0,0.00970873786407767,0.004901960784313725,0.5,False
1,What is the size ranking of the continent where Palmer Land is found?,fifth-largest,"[{'id': 101168, 'question': 'What is the continent of Palmer Land?', 'answer': 'Antarctica', 'paragraph_support_idx': 8}, {'id': 14971, 'question': ""What is #1 's ranking among the continents?"", 'answer': 'fifth-largest', 'paragraph_support_idx': 15}]",True,"To answer this question, we need to identify the continent where Palmer Land is located. According to the provided text, Palmer Land is part of the Antarctic Peninsula in Antarctica.

Now, let's analyze the given information about Brazil and its relation to South America:

* The text states that ""Brazil is the largest country in South America, encompassing around half of the continent's land area and population.""
* This implies that Brazil occupies a significant portion of the continent, but it does not provide information about the size ranking of Antarctica.

However, we can infer from the context that Antarctica is a separate continent. Since Palmer Land is part of Antarctica, we need to consider the size of Antarctica in relation to other continents.

Unfortunately, there is no direct comparison or ranking provided for the size of Antarctica among all continents. However, based on general knowledge and geographical information, Antarctica is indeed one of the largest continents, but its exact size ranking can vary depending on how one defines a continent (e.g., by land area, population, etc.).

Given this analysis, we cannot provide an accurate numerical answer to the question about the size ranking of the continent where Palmer Land is found. However, based on general knowledge and geographical information, Antarctica is indeed one of the largest continents.

Answer: One of the largest continents.",3.2836847221,2.9830429866,2.9830429866,6.2668698588,0,0.0,0.0,0.0,False
2,When did the drinking age become 19 in the state where The Great Outdoors takes place?,"July 1, 1984","[{'id': 93502, 'question': 'where does the great outdoors movie take place', 'answer': 'Wisconsin', 'paragraph_support_idx': 3}, {'id': 78714, 'question': 'when did the drinking age change to 19 in #1', 'answer': 'July 1, 1984', 'paragraph_support_idx': 17}]",True,"There is no information provided about the state where ""The Great Outdoors"" takes place, nor is there any mention of a state raising its drinking age to 19. The text only discusses states voluntarily or being required by law to raise their purchase ages to 21.

However, it does mention that from 1976 to 1983, several states voluntarily raised their purchase ages to 19 (or less commonly, 20 or 21) in part to combat drunk driving fatalities. But this is not specific to a particular state where ""The Great Outdoors"" takes place.

Since there's no direct information about the state where ""The Great Outdoors"" takes place, it's impossible to determine when the drinking age became 19 in that state.

Answer: There is no answer to this question based on the provided text.",3.2475174242,2.008904899,2.008904899,5.2565789819,0,0.0,0.0,0.0,False
3,How old do you have to be to drink with a parent in the state where Lars and the Real Girl takes place?,18 - 20,"[{'id': 91205, 'question': 'where does lars and the real girl take place', 'answer': 'Wisconsin', 'paragraph_support_idx': 2}, {'id': 85298, 'question': 'how old do you have to be to drink in #1 with a parent', 'answer': '18 - 20', 'paragraph_support_idx': 18}]",True,"To answer this question, we need to identify the location associated with Lars Lindstrom's story. According to the RAPTOR Retrieved Tree Nodes passage, Lars lives in a small Wisconsin town.

Now, let's look at the relevant information about drinking age laws in Wisconsin from the RAPPO Retrieved Passages:

The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, possess, or consume alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age.

Since Lars lives in Wisconsin, we can conclude that to drink with a parent in this state, you must be at least 18 years old (because those under 21 can only consume alcohol if accompanied by an adult).

Answer: 18",3.693103265,1.8276374847999999,1.8276374847999999,5.5208925679,0,0.017241379310344827,0.008771929824561403,0.5,False
4,In what time period did the Muslim conquest of the place where the Sahara is located on a map take place?,mid-7th to early 8th centuries,"[{'id': 73593, 'question': 'where is the sahara located on a map', 'answer': 'North Africa', 'paragraph_support_idx': 14}, {'id': 26501, 'question': 'What time period did the Muslim conquest of #1 take place?', 'answer': 'mid-7th to early 8th centuries', 'paragraph_support_idx': 19}]",True,"To answer this question, we need to analyze the text and identify the relevant information about the Muslim conquest of the region where the Sahara is located.

First, let's look at the passage that mentions the Byzantine Empire ruling the northern shores of the Sahara from the 5th to the 7th centuries. This suggests that the Sahara was already inhabited by other powers during this time period.

Next, we need to find information about the Muslim conquest of North Africa and its expansion into the Sahara region. According to the passage, after the Muslim conquest of Arabia (Arabian peninsula), the Muslim conquest of North Africa began in the mid-7th to early 8th centuries. This is a crucial piece of information that helps us determine the time period when the Muslim conquest took place.

However, we also need to consider the fact that the passage mentions that by the end of 641 all of Egypt was in Muslim hands. This implies that the Muslim conquest had already begun to spread into North Africa and the Sahara region by this time.

Taking these pieces of information together, it appears that the Muslim conquest of the place where the Sahara is located on a map took place in the mid-7th century, specifically between 634 and 641.

Answer: The Muslim conquest of the place where the Sahara is located on a map took place in the mid-7th century.",2.4055852341,3.4188317209,3.4188317209,5.8245581579,1,0.04926108374384236,0.025252525252525252,1.0,False
5,What is the work of civil defence in the richest country in Africa?,to protect lives and properties in conjunction with Nigeria police,"[{'id': 71102, 'question': 'which one is the richest country in africa', 'answer': 'Nigeria', 'paragraph_support_idx': 7}, {'id': 55140, 'question': 'what is the work of civil defence in #1', 'answer': 'to protect lives and properties in conjunction with Nigeria police', 'paragraph_support_idx': 16}]",True,"To answer this question, we need to identify the richest country in Africa and then determine the role of civil defense in that country.

First, let's look at the provided text. There is no information about the richest country in Africa or its civil defense organization. However, we can infer from the context that the question is likely related to one of the countries mentioned in the text.

Upon reviewing the text again, I notice that there are two sections: ""Mali"" and ""Nigeria Security and Civil Defence Corps (NSCDC)"". The section on Mali provides general information about the country, but it does not mention civil defense. On the other hand, the section on Nigeria Security and Civil Defence Corps (NSCDC) describes its primary function as protecting lives and properties in conjunction with the Nigeria Police.

However, there is no clear indication that Nigeria is the richest country in Africa. In fact, the text does not provide any information about the economic status of African countries.

To answer this question accurately, we would need more context or information about the richest country in Africa and its civil defense organization. Based on the provided text, I cannot determine the correct answer.

However, if we assume that Nigeria is the richest country in Africa (which is not supported by the text), then according to the section on Nigeria Security and Civil Defence Corps (NSCDC), the work of civil defense would be to protect lives and properties in conjunction with the Nigeria Police.

Answer: The work of civil defense in Nigeria, assuming it's the richest country in Africa, is to protect lives and properties in conjunction with the Nigeria Police.",2.2057920988,3.8045662069,3.8045662069,6.0104985922,1,0.07751937984496124,0.04032258064516129,1.0,False
6,Who plays the artiste for Stay for Awhile in the movie I Can Only Imagine?,Nicole DuPort,"[{'id': 143778, 'question': 'Who was the artiste for Stay for Awhile?', 'answer': 'Amy Grant', 'paragraph_support_idx': 6}, {'id': 58450, 'question': 'who plays #1 in the movie i can only imagine', 'answer': 'Nicole DuPort', 'paragraph_support_idx': 13}]",True,"To answer this question, we need to analyze the information provided and look for any connection between the song ""Stay Awhile"" and the movie ""I Can Only Imagine"".

From the RAPPO Retrieved Passages, we can see that ""Stay Awhile"" is listed as the B-side of the song ""Love Potion No. 9"" by The Clovers. However, there is no information about a movie called ""I Can Only Imagine"" or any connection between this movie and the song ""Stay Awhile"".

But then I noticed that the question mentions ""artistes"", which seems to be a typo. It's likely that the correct spelling is ""artists"". 

After re-reading the RAPPO Retrieved Passages, I found a mention of the movie ""I Can Only Imagine"" in none of the passages provided.

However, I did find some information about the movie ""I Can Only Imagine"" on other sources. The movie ""I Can Only Imagine"" is a biographical drama film based on the life of Christian music star Bart Millard and his band MercyMe. 

In this context, it seems that the question might be asking who plays the artist in the movie ""I Can Only Imagine"", not specifically about the song ""Stay Awhile"".

Unfortunately, I couldn't find any information about the specific actor who played the role of an artist in the movie ""I Can Only Imagine"" from the provided passages.

However, based on my knowledge and research, I found that the movie ""I Can Only Imagine"" features actors Dennis Quaid and Brooke Smith.",3.549841804,3.6039780709,3.6039780709,7.153949304,0,0.0,0.0,0.0,False
7,How many Americans live in the country where AS Momekano is based?,Around 300,"[{'id': 864894, 'question': 'AS Momekano >> country', 'answer': 'Congo', 'paragraph_support_idx': 4}, {'id': 4037, 'question': 'How many Americans live in the #1 ?', 'answer': 'Around 300', 'paragraph_support_idx': 12}]",True,"To answer this question, we need to identify the country where AS Momekano is based. However, there is no information about AS Momekano or its location in either of the provided texts.

But, we can look at the RAPTOR Retrieved Tree Nodes passage and find a mention of ""The Compact of Free Association"" which allows Marshall Islanders to freely relocate to the United States. This implies that many Marshallese people live in the US, but it does not provide information about Americans living in the country where AS Momekano is based.

Since we don't have any information about AS Momekano or its location, we cannot determine how many Americans live in that country.

However, if we look at the RAPTOR Retrieved Tree Nodes passage again, we can see a mention of ""Springdale, Arkansas"" which has a large concentration of Marshall Islanders. This implies that there might be some connection between AS Momekano and Springdale, but it's still unclear what that connection is.

Since we don't have enough information to answer the question accurately, I will provide a neutral response.

Answer: There is not enough information to determine how many Americans live in the country where AS Momekano is based.",3.9650600418,2.9384017657,2.9384017657,6.9035951919,0,0.0,0.0,0.0,False
8,What county contains the city where Emil Marschalk von Ostheim was born?,Bamberg County,"[{'id': 508148, 'question': 'Emil Marschalk von Ostheim >> place of birth', 'answer': 'Bamberg', 'paragraph_support_idx': 18}, {'id': 422982, 'question': '#1 >> located in the administrative territorial entity', 'answer': 'Bamberg County', 'paragraph_support_idx': 19}]",True,"There is no information in the provided text about a person named Emil Marschalk von Ostheim or their place of birth. The text only mentions Thomasville, Kosciusko, and various historical events related to Germany and France.

However, since we are looking for a county that contains a city where someone was born, let's examine the information about Kosciusko:

Kosciusko is a city in Attala County, Mississippi, United States, and is the birthplace of James Meredith and Oprah Winfrey. 

Since there is no mention of Emil Marschalk von Ostheim being born in Kosciusko or any other city, we can conclude that the information provided does not answer the question.

However, based on the available information, Attala County is mentioned as the county where Kosciusko is located.

Answer: Attala",3.3140067109,2.0393322688,2.0393322688,5.3534835391,0,0.017094017094017096,0.008695652173913044,0.5,False
9,The mosaic in the church in the location of Hagia Sophia is known as what?,Christ in majesty (or Ezekiel's Vision),"[{'id': 339005, 'question': 'Hagia Sophia >> location', 'answer': 'Thessaloniki', 'paragraph_support_idx': 17}, {'id': 37261, 'question': 'The mosaic in the church in #1 is know as what?', 'answer': ""Christ in majesty (or Ezekiel's Vision)"", 'paragraph_support_idx': 9}]",True,"To answer this question, we need to analyze the provided text and identify any information related to mosaics or decorations within the Hagia Sophia.

From the RAPTOR Retrieved Tree Nodes passage:

* There is no direct mention of a mosaic in the church at the location of Hagia Sophia.
* However, the passage does describe Hagia Sophia as ""famous in particular for its massive dome"" and states that it is considered the epitome of Byzantine architecture.

From the RAPPO Retrieved Passages:

* The **Hagia Sophia** section mentions a second church on the site of Hagia Sophia, but there is no mention of mosaics.
* There are two other sections (**Dura-Europos Synagogue** and **Christianity in Iraq**) that discuss synagogues and Christianity in general, but do not provide any information about mosaics or decorations within Hagia Sophia.

Since the question specifically asks about a mosaic in the church at the location of Hagia Sophia, we can infer that it is likely referring to the famous mosaics found within the Hagia Sophia building. However, there is no specific name mentioned for these mosaics in the provided text.

Given this analysis, I will provide an answer based on general knowledge about Hagia Sophia's mosaics:

Answer: The Mosaics of Hagia Sophia",3.480810056,3.1748135053,3.1748135053,6.6557590449,0,0.0213903743315508,0.011049723756906077,0.3333333333333333,False
